lens_id,title,abstract,date_published,jurisdiction,cpc_codes
145-308-183-271-865,Mildew-proof flame-retardant environment-friendly bio-based adhesive as well as preparation method and application thereof,"The invention discloses a mildew-proof flame-retardant environment-friendly bio-based adhesive as well as a preparation method and application thereof, a bio-based phenolic resin adhesive is synthesized from sodium lignin sulfonate and furfural, a green production way is provided for phenolic resin production, and a technically perfect, economically feasible implementation scheme is provided for biomass resource comprehensive utilization. The hyperbranched polymer cross-linking agent and the trivalent metal ions are added, and multiple cross-linking enhancing systems such as hydrogen bonds, covalent bonds and metal ion coordination bonds are adopted for modification, so that the mechanical property of the resin is greatly improved; meanwhile, phenylboronic acid and trivalent metal ions are introduced into the hyperbranched polymer, so that the mildew resistance and flame retardance of a bio-based adhesive system are improved.",2025-07-04,CN,C09J161/12; B27D1/04; C08G8/02; C08G69/26; C08G69/48; C08L2201/02; C09J11/04; C09J11/08
148-513-587-957-46X,"Modified guayule resin/soy protein blends for bio-based adhesives, associated methods for forming same, and associated structures including such adhesives","An adhesive composition for use in coupling together two substrates to form a structure, such as for use in coupling together two wooden substrates to form a wooden structure, includes a mixture of a modified guayule resin and soy protein. The modified guayule resin can be a base-solvent modified guayule resin or can be an HiCh-modified guayule resin each respectively formed from an unmodified guayule base resin. The unmodified guayule base resin is obtained in a rubber extraction process of guayule at solvent removal temperatures ranging from 104 to 166 degrees Celsius. The method for forming the adhesive composition includes forming a modified guayule resin and mixing the formed modified guayule resin with soy protein. The adhesive composition, when used in forming structures, provides enhanced wet shear strength as compared with adhesive compositions including soy protein alone.",2026-06-16,US,C09F1/04; C08L7/00; C08L93/00; C08L89/00; C09J189/00; B32B7/12; B32B21/13; B32B21/14; B32B2250/02; B32B2255/08; B32B2255/26; B32B2307/54; B32B2307/542; B32B2307/748; C09F1/04; C09J107/00
150-686-665-826-850,Non-toxic natural eyelash adhesive and method for manufacturing the same Non-toxic natural adhesive for living body and method for manufacturing the same,"The present invention relates to a large amount of a non-toxic natural adhesive for a living body (a strong adhesive from seafood) combined with mussels secretion and resinous polysaccharides extracted from sea horses such as agar and carrageen, and using henna which is a natural material of 100% for a variety of colors to match eyelashes, to a large amount of a non-toxic natural adhesive (a strong adhesive from seafood) combined with mussels secretion and resinous polysaccharides extracted from sea horses such as agar and carrageen, and to a production method of a non-toxic natural adhesive using henna which is a natural material of 100% for a variety of colors to match eyelashes.",2019-08-14,KR,C09J105/00; A41G5/02; C09J11/06; C09J105/12
151-592-228-466-139,"MODIFIED GUAYULE RESIN/SOY PROTEIN BLENDS FOR BIO-BASED ADHESIVES, ASSOCIATED METHODS FOR FORMING SAME, AND ASSOCIATED STRUCTURES INCLUDING SUCH ADHESIVES","An adhesive composition for use in coupling together two substrates to form a structure, such as for use in coupling together two wooden substrates to form a wooden structure, includes a mixture of a modified guayule resin and soy protein. The modified guayule resin can be a base- solvent modified guayule resin or can be an HiCh-modified guayule resin each respectively formed from an unmodified guayule base resin. The unmodified guayule base resin is obtained in a rubber extraction process of guayule at solvent removal temperatures ranging from 104 to 166 degrees Celsius. The method for forming the adhesive composition includes forming a modified guayule resin and mixing the formed modified guayule resin with soy protein. The adhesive composition, when used in forming structures, provides enhanced wet shear strength as compared with adhesive compositions including soy protein alone.",2022-04-21,WO,C09F1/04; C08L7/00; C08L93/00; C08L89/00; C09J189/00; B32B7/12; B32B21/13; B32B21/14; B32B2250/02; B32B2255/08; B32B2255/26; B32B2307/54; B32B2307/542; B32B2307/748; C09F1/04; C09J107/00
152-071-219-962-766,PROCESS FOR MANUFACTURING A NATURAL ADHESIVE USING TANNINS,"The invention relates to a process for manufacturing a natural formaldehyde-free adhesive for MDF wood boards, wherein the adhesive comprises a formulation containing at least three components, which come from renewable sources. These components are selected from tannins, sucrose, starch and citric acid. The process comprises oxidising the sucrose (partially or completely), providing condensed tannins, hydrolysing and oxidising the starch, if present, and mixing the components.",2026-06-18,WO,C08J3/24; C09J11/08; C09J103/00; C09J11/00; C09J105/00
154-373-843-964-163,A NATURAL ADHESIVE COMPOSITION AND A METHOD FOR MANUFACTURING THE SAME,"An embodiment of the present invention provides a natural adhesive composition and a method for manufacturing the same, wherein the natural adhesive composition contains 100 parts by weight of pulp or powder of Broussonetia kazinoki containing 1 wt% or less of lignin; 10 to 15 parts by weight of two or more types of natural mineral powder; and 20 to 30 parts by weight of a first binder containing starch. The natural adhesive composition of the present invention has excellent deodorization, hygroscopicity, sound absorption, and antibacterial properties without the emission of hazardous chemicals.",2018-06-21,KR,C09J197/00; C08L3/00; C09J11/04; C09J11/08
154-740-284-227-74X,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES, AND THEIR USE FOR MANUFACTURING WOOD-BASED COMPOSITES AND FIBREGLASS OR ROCK WOOL INSULATIONS",,2024-10-23,EP,C09J189/00; C09J197/00; C09J197/005; C09J199/00
155-135-657-133-334,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES, AND THEIR USE FOR MANUFACTURING WOOD-BASED COMPOSITES AND FIBREGLASS OR ROCK WOOL INSULATIONS",,2024-01-03,EP,C09J189/00; C09J197/00; C09J197/005; C09J199/00
158-401-410-542-644,USING WHEY PROTEIN-BASED NATURAL ADHESIVE IN THE PRODUCTION OF MDF AND COMPOSITE BOARD,"The invention relates to urea formaldehyde resin containing whey protein and wood-based composite board products obtained thereof. The use of protein-intensive waste solution produced as a by-product in cheese production facilities and named as whey together with urea formaldehyde glue, as an adhesive in MDF production.",2022-06-23,WO,C09J161/24
162-652-497-943-926,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES, AND THEIR USE FOR MANUFACTURING WOOD-BASED COMPOSITES AND FIBREGLASS OR ROCK WOOL INSULATIONS","The present invention refers to novel formaldehyde-free adhesive compositions comprising at least one bio-based adhesive from a renewable resource, adhesive systems comprising, isolated one of another, an adhesive composition (component A) and at least one hardener agent (component B), as well as an adhesive mixture comprising both the adhesive composition and the at least one hardener agent. These adhesive compositions, systems and mixtures described in this document can be used for manufacturing wood composite boards such as wood fibreboards, particleboards, chipboards, oriented strand boards, plywood and paperboards, but also of fibreglass insulations or rock wool insulations.",2022-09-01,WO,C09J189/00; C09J197/00; C09J197/005; C09J199/00
164-073-651-707-208,"Distiller's grain (DG) based bio-adhesives: compositions, uses and processes for manufacturing","Distiller's Grain (DG) based bio-adhesives consisting of DG biomass, cross linking agents and fillers is disclosed. Optionally, other additives can be included to form aqueous bio-adhesives suitable as substitutes of formaldehyde based wood glue for wood paneling process. There is also provided a process to manufacture such DG bio-adhesives which comprising the steps of : A) blending DG biomass, a cross-linking agent and inorganic fillers to form a blend by mechanical blender; B) micronisation or homogenization of the blend to obtain powdery material and C) mixing the powdery material with additional water, optionally with the addition of other additives such as defoaming agent, thickener, wet-strength agent and another cross linking agent to form DG based bio-adhesives. The DG bio-adhesives can also be used in environmentally friendly construction and packaging industry.",2015-10-07,GB,C09J199/00; B27N3/002; C08G18/6446; C08G18/7671; C08G18/8061; C08G2170/80; C08K3/22; C08K3/346; C08K2003/2206; C08L97/02; C08L99/00; C09J163/00; C09J175/04; C09J103/02; C08G18/72; C09J199/00
164-792-749-034-081,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES, AND THEIR USE FOR MANUFACTURING WOOD-BASED COMPOSITES AND FIBREGLASS OR ROCK WOOL INSULATIONS","La presente invención se refiere a nuevas composiciones adhesivas sin formaldehído que comprenden al menos un adhesivo de base biológica procedente de un recurso renovable, a sistemas adhesivos que comprenden, aislados entre sí, una composición adhesiva (componente A) y al menos un agente endurecedor (componente B), así como a una mezcla adhesiva que comprende tanto la composición adhesiva como el al menos un agente endurecedor. Estas composiciones, sistemas y mezclas adhesivas descritas en este documento se pueden utilizar para la fabricación de tableros compuestos de madera tales como tableros de fibra de madera, tableros de partículas, tableros aglomerados, tableros de virutas orientadas, madera contrachapada y cartón, pero también de aislamientos de fibra de vidrio o aislamientos de lana de roca. (Traducción automática con Google Translate, sin valor legal)",2025-02-25,ES,C09J189/00; C09J197/00; C09J197/005; C09J199/00
164-823-088-440-179,METHOD FOR PRODUCING A FORMALDEHYDE-FREE NATURAL ADHESIVE FOR WOOD PANELS,"A method for producing a formaldehyde-free natural adhesive for wood panels that enhances the crosslinking reactions between the crosslinking agent and binding agent, comprising reacting a plant protein selected from amongst soy, lupin and legumes together with a crosslinking agent selected from 100% of an oxidised saccharide or a combination of an oxidised saccharide and a non-oxidised or pure saccharide; the method comprising: a saccharide oxidation step; a plant protein preparation step, in which the plant protein is reacted with a chaotropic agent or an alkali or by controlling the temperature, or a combination of said conditions; and a mixing step.",2022-08-11,WO,B27N3/04; B27N3/08; C09J189/00; C09J11/06; C08H1/00; C08J3/24; C08J2389/00; C09J189/00
166-100-134-134-839,Natural adhesive using garlic and fabricating method of the same,"The present invention relates to a natural adhesive using garlic and a fabricating method thereof, and, more particularly to a very preservative, adhesive, nonpoisonous and high-performance natural adhesive, which is a chemical-free natural adhesive using garlic with high antibiosis as a major ingredient, capable of efficiently preventing a variety of damages due to volatile organic compounds by employing no chemicals throughout the whole fabricating procedures, and a fabricating method thereof. In detail, the present invention provides a natural adhesive using garlic fabricated by filtering and concentrating an extracted liquid obtained from a mixture of pulverized garlic and water. In addition, the present invention provides a method of fabricating a natural adhesive using garlic, including: (a) preparing and pulverizing garlic; (b) adding a solvent into the pulverized garlic; (c) extracting an extracted liquid from a mixture of the pulverized garlic and water; (d) filtering the extracted liquid; and (e) concentrating the filtered extracted liquid.",2012-09-11,US,C09J193/00; C09J193/00; C09J193/00
168-558-001-692-287,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES FROM RENEWABLE RESOURCES, AND THEIR USE FOR MANUFACTURING PLYWOOD",,2024-10-09,EP,C09J189/00; C09J197/00; C09J199/00
170-441-455-376-038,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES FROM RENEWABLE RESOURCES, AND THEIR USE FOR MANUFACTURING PLYWOOD","The present invention refers to novel formaldehyde-free bio-based adhesive compositions, adhesive systems comprising, isolated one of another, said adhesive composition (component A) and at least one hardener agent (component B), and adhesive mixtures comprising the adhesive composition and the hardener agent. These adhesive compositions, systems and mixtures can be used for plywood manufacturing.",2022-09-01,WO,C09J189/00; C09J197/00; C09J199/00
172-169-277-525-557,Sheet Formation of natural adhesive sheet for wood based on resin powder and glutinous rice powder and its preparation method,"The present invention relates to a natural adhesive sheet composition for wood and a method of manufacturing the same. More particularly, the present invention relates to a method of manufacturing a natural adhesive sheet, wherein, in order to make a natural adhesive aqueous solution for easy deposition, grains such as glutinous rice, corn, and wheat are boiled with Ulmus cortex to make a natural liquid adhesive, and a wet web having a thickness of 0.01 to 0.2 mm is generated through a process of a paper part such as a paper material control unit, a paper material pressing unit, and a wet web thickness control unit for deposited paper materials in the natural adhesive aqueous solution. In order to be able to apply a rosin powder and glutinous rice powder to the wet web at a basis weight of 150 to 200 g/m^2, the rosin powder and glutinous rice powder are pulverized into particles having a size of 300 to 1,000 mesh, and the wet web is dried at a temperature of 30 to 50°C so that the resin powder and glutinous rice powder applied on the wet web do not melt or cooked by the heat imposed upon drying the wet web.",2020-10-07,KR,C09J193/04; C09J7/10; C09J103/02
181-687-441-459-376,Composite anti-corrosion and anti-mildew agent for bio-based adhesive and preparation method of composite anti-corrosion and anti-mildew agent,"The invention discloses a composite anti-corrosion and anti-mildew agent for a bio-based adhesive and a preparation method of the composite anti-corrosion and anti-mildew agent. The preparation methodcomprises the following steps: taking 100 parts of a silicate, 40-60 parts of calcium oxide, 4-6 parts of zinc oxide, 2-3 parts of copper oxide, 0.5-1 part of silver oxide and 240-260 parts of boraxas raw materials, mixing the raw materials with water to obtain a pretreated material, carrying out wet grinding on the pretreated material to obtain a slurry, dehydrating and washing the slurry, andcarrying out centrifugal separation to obtain a solid material, and drying the solid material to obtain the composite anti-corrosion and anti-mildew agent. The main active component is boron; the auxiliary active components are zinc, copper and silver elements, the non-active component is calcium elements, borate formed through reaction has low water solubility, high thermal stability and the like, and meanwhile, based on the synergistic effect of B-Zn-Cu-Ag composite components, the corrosion-resistant and mildew-proof effects can be achieved when a small amount of the composite anti-corrosion and anti-mildew agent is used in the bio-based adhesive.",2020-02-14,CN,C09J11/04
187-662-871-148-25X,Antistatic plant-based adhesive tape for aviation and preparation method thereof,"The invention discloses an antistatic plant-based adhesive tape for aviation. The antistatic plant-based adhesive tape for aviation includes an antistatic layer, a substrate layer and an adhesive layer which are stacked in order. The antistatic layer comprises, by weight, 0.3-0.5 part of conductive carbon fibers, 10-30 parts of polyethylene and 20-40 parts of an ethylene-acrylic acid copolymer. Inthe antistatic plant-based adhesive tape for aviation, the surface of the substrate layer is provided with the antistatic layer, the antistatic layer contains the conductive carbon fibers, and the conductive carbon fibers are dispersed in the polyethylene and ethylene-acrylic acid copolymer and firmly adhered to the substrate layer through the polyethylene and ethylene-acrylic acid copolymer, thereby preventing electrostatic from enriching on the plant-based adhesive tape, which affects the use safety of the plant-based adhesive tape. Furthermore, since the conductive carbon fibers have the characteristics of high strength and light weight, when the antistatic layer is formed on the substrate, the conductive carbon fibers can enhance the strength of the plant-based adhesive tape, and further improves the application range and use safety of the plant-based adhesive tape.",2019-04-19,CN,C09J7/20; C09D5/24; C09D123/0869; C09J7/28; C09J2301/122; C09J2400/163
189-207-362-776-205,"ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES FROM RENEWABLE RESOURCES, AND THEIR USE FOR MANUFACTURING PLYWOOD",,2025-02-03,PL,C09J189/00; C09J197/00; C09J199/00
190-756-284-312-751,Closed-loop recyclable solvent-free bio-based adhesive as well as preparation method and application thereof,"The invention discloses a closed-loop recoverable solvent-free bio-based adhesive as well as a preparation method and application thereof, a covalent cross-linked reusable solvent-resistant bio-based adhesive is successfully synthesized by taking lipoic acid and tris (2-aminoethyl) amine as a basis, carrying out condensation reaction between carboxyl and amino and taking tris (2-aminoethyl) amine as a cross-linking agent; the specific operation process comprises the steps that lipoic acid and tris (2-aminoethyl) amine are mixed and then stirred for 2 hours at the temperature of 100-150 DEG C, reversible covalent amido bonds are used for synthesizing the closed-loop recyclable solvent-free bio-based adhesive, and the mass ratio of tris (2-aminoethyl) amine to lipoic acid is (0.2-1): 1. The adhesive disclosed by the invention has excellent shear strength, solvent resistance and reutilization performance, can be subjected to closed-loop chemical recovery, and shows multiple potentials of practical application.",2024-11-12,CN,C09J181/04; C08G75/14; C09J11/06
192-141-758-649-914,Preparation method and application of reinforcing and toughening bio-based adhesive based on double dynamic covalent bonds,"The invention relates to the technical field of bio-based formaldehyde-free adhesives, and aims to provide a preparation method and application of a high-strength and high-toughness bio-based adhesive. Through interface molecular structure design, a boron nitride nanosheet based on sulfydryl click chemical function modification is constructed, an interface mechanical interlocking and chemical multi-network cross-linking reinforcing and toughening integrated technology is innovated, and the preparation method of the boron nitride nanosheet intercalation modified reinforcing and toughening plant protein adhesive is provided. The characteristic of poor interfacial adhesion between the adhesive and the wood surface is obviously improved, and the bio-based adhesive with good water resistance, high strength, excellent toughness and wider application range is obtained. According to the present invention, the dry shear strength of the plywood prepared by using the high-performance, high-strength and high-toughness bio-based adhesive through hot pressing can achieve 2.56 MPa, the wet shear strength can achieve 1.32 MPa, the wet debonding work can achieve 1800 mJ, excellent strength and excellent toughness can be represented, the thermal stability and the fire resistance of the adhesive can be significantly enhanced, and the wide industrial application prospect can be provided.",2025-06-13,CN,C09J189/00; B27N3/002; C08K2003/385; C09J11/04; C09J11/06
193-976-987-045-825,"Preparation method of high-strength, recoverable and repairable rapid light-curing bio-based adhesive","The invention discloses a preparation method of a high-strength, recoverable and repairable rapid light-curing bio-based adhesive, which comprises the following steps: step 1, preparing a high-strength, recoverable, repairable and rapid light-curing bio-based adhesive; the preparation method comprises the following steps: dissolving cellulose, 2-(tert-butylamino) ethyl methacrylate, diisocyanate and a catalyst in a good solvent according to a certain molar ratio, and reacting at 40-100 DEG C for 2-8 hours to prepare a cellulose-based macromonomer containing dynamic steric hindrance urea bonds; and 2, dissolving the cellulose-based macromonomer, metacrylic acid ester and a photoinitiator in a good solvent according to a certain mass ratio, pouring the solution into a mold, and after the solvent is volatilized, carrying out ultraviolet curing for 1-10 minutes to prepare the high-strength, recoverable and repairable rapid photocuring bio-based adhesive. According to the preparation method, the green, environment-friendly, high-strength, recoverable and repairable rapid light-curing bio-based adhesive can be simply, conveniently and efficiently prepared.",2025-02-25,CN,C09J151/02; C08F251/02
197-544-751-796-805,METHOD FOR PRODUCING A PLANT-BASED ADHESIVE WITH REDUCED T2/HT2 CONTENT,"Die Erfindung betrifft ein Verfahren zur Herstellung eines pflanzenbasierten Klebers mit einem reduzierten Gehalt an T-2-Toxin (T2) und/oder HT-2-Toxin (HT2), umfassend die Schritte: (a) Bereitstellung eines Ausgangsmaterials, das T2 und/oder HT2 enthält, (b) alkalische Behandlung des Ausgangsmaterials bei einem pH-Wert von 9,0 oder darüber, wobei der Gehalt an T2 und/oder HT2 um 50 Gew% oder mehr reduziert wird, (c) Einstellung des pH-Werts des alkalisch behandelten Ausgangsmaterials auf 7,5 oder darunter, und (d) Fertigstellung des pflanzenbasierten Klebers. Die Erfindung betrifft auch einen pflanzenbasierten Kleber, erhältlich durch dieses Verfahren, einen Gehalt an T2 und/oder HT2 von 500 ppb oder darunter, und eine Stickstofflöslichkeit von 1,0 Gew% oder darüber, sowie die Verwendung des pflanzenbasierten Klebers in der Futtermittelindustrie und/oder in der Nahrungsmittelindustrie.",2025-04-16,EP,A23L7/10; A23J1/006; A23J1/12; A23J3/14; A23K10/30; A23L5/27; C09J103/02; C09J189/00
199-455-180-243-454,"MODIFIED GUAYULE RESIN/SOY PROTEIN BLENDS FOR BIO-BASED ADHESIVES, ASSOCIATED METHODS FOR FORMING SAME, AND ASSOCIATED STRUCTURES INCLUDING SUCH ADHESIVES","An adhesive composition for use in coupling together two substrates to form a structure, such as for use in coupling together two wooden substrates to form a wooden structure, includes a mixture of a modified guayule resin and soy protein. The modified guayule resin can be a base-solvent modified guayule resin or can be an HiCh-modified guayule resin each respectively formed from an unmodified guayule base resin. The unmodified guayule base resin is obtained in a rubber extraction process of guayule at solvent removal temperatures ranging from 104 to 166 degrees Celsius. The method for forming the adhesive composition includes forming a modified guayule resin and mixing the formed modified guayule resin with soy protein. The adhesive composition, when used in forming structures, provides enhanced wet shear strength as compared with adhesive compositions including soy protein alone.",2023-12-07,US,C09F1/04; C08L7/00; C08L93/00; C08L89/00; C09J189/00; B32B7/12; B32B21/13; B32B21/14; B32B2250/02; B32B2255/08; B32B2255/26; B32B2307/54; B32B2307/542; B32B2307/748; C09F1/04; C09J107/00
